n,group_size,k,avg_comparisons,avg_swaps,avg_time_sec
8000,7,15,63159.7,37477.8,0.019653662045796712
8000,7,20,63365.63333333333,37600.433333333334,0.020229276021321616
8000,7,30,63559.933333333334,37733.333333333336,0.020083856582641602
9000,7,15,71194.1,42235.23333333333,0.023014171918233236
9000,7,20,71660.9,42514.26666666667,0.023100646336873372
9000,7,30,71829.3,42643.066666666666,0.02268055280049642
10000,7,15,79295.33333333333,47073.433333333334,0.024361077944437662
10000,7,20,79410.4,47125.2,0.026288962364196776
10000,7,30,79839.0,47362.7,0.024504717191060385
11000,7,15,88002.4,52217.1,0.028076839447021485
11000,7,20,88283.36666666667,52399.833333333336,0.029826760292053223
11000,7,30,87082.63333333333,51661.76666666667,0.02761367956797282
12000,7,15,95840.66666666667,56854.8,0.030695279439290363
12000,7,20,95378.93333333333,56556.96666666667,0.031041733423868813
12000,7,30,95819.46666666666,56758.86666666667,0.030592958132425945
13000,7,15,104170.43333333333,61727.4,0.03300443490346273
13000,7,20,104043.06666666667,61690.7,0.032295727729797365
13000,7,30,103930.5,61625.433333333334,0.031343507766723636
14000,7,15,112137.63333333333,66506.96666666666,0.03525913556416829
14000,7,20,112350.86666666667,66571.96666666666,0.03674134413401286
14000,7,30,112089.36666666667,66443.26666666666,0.03626453876495361
15000,7,15,119189.73333333334,70690.23333333334,0.03717190424601237
15000,7,20,119951.9,71134.73333333334,0.03745816548665364
15000,7,30,120705.6,71514.73333333334,0.038801964124043783
16000,7,15,128454.2,76065.2,0.040501602490743
16000,7,20,128526.66666666667,76147.23333333334,0.04402656555175781
16000,7,30,129072.16666666667,76476.9,0.04105164210001628
17000,7,15,136271.06666666668,80691.1,0.043486587206522626
17000,7,20,136069.7,80643.8,0.04328420162200928
17000,7,30,136818.3,81087.86666666667,0.04362490177154541
18000,7,15,144692.46666666667,85713.6,0.04730857213338216
18000,7,20,144891.13333333333,85838.53333333334,0.0465784231821696
18000,7,30,145061.93333333332,85900.33333333333,0.047101593017578124
19000,7,15,152815.83333333334,90487.13333333333,0.04814318021138509
19000,7,20,152218.1,90112.6,0.048987690607706705
19000,7,30,153608.6,91034.4,0.052003002166748045
20000,7,15,161399.23333333334,95540.76666666666,0.05223131974538167
20000,7,20,161022.96666666667,95377.16666666667,0.05080644289652506
20000,7,30,161271.06666666668,95528.1,0.05158096154530843
21000,7,15,169614.23333333334,100500.93333333333,0.05471261342366537
21000,7,20,169112.83333333334,100161.03333333334,0.054799739519755045
21000,7,30,169748.16666666666,100496.36666666667,0.05790543556213379
22000,7,15,177456.76666666666,104989.66666666667,0.05788420041402181
22000,7,20,177348.73333333334,104977.13333333333,0.05774231751759847
22000,7,30,177364.73333333334,105001.16666666667,0.05807145436604818
23000,7,15,186126.16666666666,110182.33333333333,0.059769304593404134
23000,7,20,186743.06666666668,110653.66666666667,0.06012877623240153
23000,7,30,184864.4,109500.0,0.06011257171630859
24000,7,15,193161.23333333334,114399.96666666666,0.06151854991912842
24000,7,20,193874.8,114742.03333333334,0.060243415832519534
24000,7,30,193780.13333333333,114678.13333333333,0.06315224965413412
25000,7,15,202621.23333333334,119881.2,0.06629242897033691
25000,7,20,201643.4,119339.66666666667,0.06442186832427979
25000,7,30,202584.5,119888.9,0.06329270203908284
26000,7,15,210580.7,124633.6,0.06617081165313721
26000,7,20,209944.83333333334,124296.86666666667,0.06962418556213379
26000,7,30,210817.13333333333,124753.33333333333,0.0678615649541219
27000,7,15,219221.2,129721.6,0.0731691837310791
27000,7,20,219044.33333333334,129663.0,0.0728659709294637
27000,7,30,218836.06666666668,129476.8,0.07008982499440511
28000,7,15,227274.43333333332,134498.66666666666,0.07526266574859619
28000,7,20,227027.4,134255.3,0.0744653304417928
28000,7,30,226768.56666666668,134217.93333333332,0.07376116911570231
29000,7,15,235792.63333333333,139549.3,0.0751637061436971
29000,7,20,235357.1,139177.2,0.07656317551930746
29000,7,30,236006.73333333334,139591.86666666667,0.07818246682484944
30000,7,15,243634.03333333333,144140.43333333332,0.07847575346628825
30000,7,20,243720.73333333334,144221.0,0.07911512851715088
30000,7,30,242737.26666666666,143623.0,0.07802368799845377
31000,7,15,250387.63333333333,148163.73333333334,0.08337946732838948
31000,7,20,251233.3,148615.73333333334,0.08215270837148031
31000,7,30,252028.5,149145.53333333333,0.08077025413513184
32000,7,15,258821.56666666668,153081.56666666668,0.08296015262603759
32000,7,20,260391.73333333334,154000.2,0.08445409138997396
32000,7,30,259488.16666666666,153489.03333333333,0.08461411794026692
33000,7,15,266727.93333333335,157850.36666666667,0.08488405545552571
33000,7,20,267256.2,158085.43333333332,0.08465518156687418
33000,7,30,268516.13333333336,158734.86666666667,0.08697156111399333
34000,7,15,276474.6666666667,163590.53333333333,0.08941540718078614
34000,7,20,276003.26666666666,163232.66666666666,0.08894117673238118
34000,7,30,277179.6666666667,163917.03333333333,0.08586604595184326
35000,7,15,284517.06666666665,168185.53333333333,0.09250099658966064
35000,7,20,283634.1,167785.76666666666,0.09397314389546713
35000,7,30,283938.9666666667,167952.43333333332,0.09441378116607665
36000,7,15,292338.26666666666,172921.26666666666,0.0995736837387085
36000,7,20,294088.2,173889.73333333334,0.09606316089630126
36000,7,30,291844.6666666667,172584.7,0.08820243676503499
37000,7,15,301010.8333333333,178016.33333333334,0.09803276856740316
37000,7,20,300678.0333333333,177902.5,0.09671126206715902
37000,7,30,299989.8,177425.43333333332,0.09650491873423259
38000,7,15,309234.43333333335,182915.96666666667,0.10156976381937663
38000,7,20,309461.6,182991.36666666667,0.0974401076634725
38000,7,30,307830.06666666665,182167.13333333333,0.09052671591440836
39000,7,15,317269.4666666667,187618.8,0.10145838260650634
39000,7,20,318432.9666666667,188262.46666666667,0.10019098122914633
